first_time_homebuyer_flag,borrowers_num,orig_UPB,orig_interest_rate,program_ind,zero_balance_effective_date,loan_purpose,LTV,units_numb,id_loan,maturity_date,occupancy_status,period,DTI_ratio,orig_loan_term,channel,Unnamed: 0,first_payment_date,cens,CLTV,MI_%,property_state,zero_balance_code,postal_code,MI_cancel_flag,int_only_flag,PPM_flag,property_type,property_val_method,time,amortization_type,service_name,seller_name
N,2,128000,7.25,9,,N,80,1,F99Q10000145,202903,P,2017-12-01,29,360,R,111,199904,False,80,0,PA,-1.0,18300,9,N,N,SF,9,227,FRM,Other servicers,GMAC MORTGAGE CORPORATION
N,2,82000,7.875,9,201701.0,C,80,1,F99Q10000159,202902,P,2017-01-01,30,360,T,120,199903,True,80,0,CO,1.0,80800,9,N,N,SF,9,217,FRM,Other servicers,Other sellers
N,1,62000,7.0,9,,C,75,1,F99Q10000325,202902,P,2017-12-01,46,360,R,236,199903,False,75,0,UT,-1.0,84100,9,N,N,SF,9,228,FRM,Other servicers,WASHINGTON MUTUAL BANK
N,2,118000,6.25,9,,N,85,1,F99Q10000461,202908,P,2017-12-01,31,360,T,334,199909,False,85,25,PA,-1.0,18300,9,N,N,SF,9,222,FRM,Other servicers,Other sellers
N,2,160000,6.25,9,,P,79,1,F99Q10000465,202910,P,2017-12-01,23,360,T,339,199911,False,79,0,PA,-1.0,18000,9,N,N,SF,9,220,FRM,Other servicers,Other sellers
N,2,78000,6.125,9,,C,80,1,F99Q10000477,202802,P,2017-12-01,51,347,R,352,199904,False,80,0,PR,-1.0,900,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,162000,7.125,9,,P,90,1,F99Q10000915,202904,P,2017-12-01,37,360,R,673,199905,False,90,25,IA,-1.0,52700,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
Y,1,42000,7.0,9,,P,86,1,F99Q10000961,202904,P,2017-12-01,20,360,R,709,199905,False,86,0,WI,-1.0,53200,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
Y,1,110000,7.0,9,,P,82,2,F99Q10000965,202903,P,2017-12-01,44,360,R,713,199904,False,82,0,WI,-1.0,53100,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,100000,7.125,9,,P,80,1,F99Q10001020,202903,P,2017-12-01,38,360,R,766,199904,False,80,0,OH,-1.0,44600,9,N,N,CO,9,227,FRM,Other servicers,Other sellers
N,1,88000,6.875,9,,P,76,1,F99Q10001044,202902,P,2017-12-01,22,360,R,791,199903,False,76,0,NJ,-1.0,8700,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,173000,6.875,9,,N,71,1,F99Q10001045,202904,P,2017-12-01,38,360,R,793,199905,False,71,0,NJ,-1.0,8800,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,46000,6.5,9,,C,51,1,F99Q10001081,202903,P,2017-12-01,38,360,R,829,199904,False,51,0,PA,-1.0,18400,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,125000,6.375,9,,N,53,1,F99Q10001100,202905,P,2017-12-01,33,360,R,849,199906,False,53,0,CT,-1.0,6000,9,N,N,SF,9,225,FRM,Other servicers,Other sellers
N,2,184000,6.875,9,,N,30,1,F99Q10001172,201404,P,2017-12-01,26,180,R,922,199905,False,30,0,CA,-1.0,90200,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,120000,7.625,9,,C,67,1,F99Q10001175,202903,P,2017-12-01,37,360,R,926,199904,False,67,0,IL,-1.0,60500,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,104000,6.5,9,,P,76,1,F99Q10001226,202303,P,2017-12-01,33,289,R,978,199903,False,76,0,CT,-1.0,6400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,125000,6.5,9,,C,54,1,F99Q10001232,202902,P,2017-12-01,34,360,R,985,199903,False,54,0,CT,-1.0,6200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,70000,6.5,9,,N,70,1,F99Q10001251,202904,P,2017-12-01,30,360,R,1005,199905,False,70,0,CT,-1.0,6400,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,45000,7.375,9,,P,80,1,F99Q10001478,202904,P,2017-12-01,34,360,R,1233,199905,False,80,0,FL,-1.0,34200,9,N,N,CO,9,226,FRM,Other servicers,Other sellers
